dataset,lib,fmt,n_trees,batch,bytes,t_numpy_s,t_import_s,t_load_s,t_first_pred_s,t_steady_p50_s,t_steady_p95_s,ttfp,import_share,n_obs
breast,cat,pickle,100,1024,121057.0,0.0756646,1.66093544,0.0008405040000000001,0.0058496830000000005,0.001900818,0.002160422,1786.562937,92.968201992875,5
breast,cat,pickle,500,1,566858.0,0.083157148,1.64505662,0.001624933,0.0040020590000000005,0.000430872,0.00047671000000000004,1777.5467850000002,92.77326303835525,5
breast,cat,pickle,500,32,566858.0,0.075400995,1.646118533,0.001551492,0.004881422000000001,0.000585861,0.000669471,1770.499632,92.97480232404816,5
breast,cat,pickle,500,1024,566858.0,0.073510922,1.617864202,0.001458192,0.006325188000000001,0.002310765,0.0030809680000000003,1746.0076840000002,92.66077216187095,5
breast,cat,pickle,2000,1,2237386.0,0.07385061200000001,1.5970820840000002,0.0046195360000000005,0.0043429110000000005,0.0005175140000000001,0.000596106,1720.626706,92.65148128332788,5
breast,cat,pickle,2000,32,2237386.0,0.077992556,1.58702268,0.003552795,0.005133945,0.000706516,0.000778638,1720.8121409999999,92.52209865793503,5
breast,cat,pickle,2000,1024,2237386.0,0.107596492,3.179275371,0.010485103,0.011327068000000001,0.006659896,0.010748241,3339.587268,92.83019341727172,5
breast,lgb,joblib,100,1,242308.0,0.078844364,1.894435582,0.00337749,0.004114482,0.001286051,0.001441538,2019.5038400000005,93.77780062751148,5
breast,lgb,joblib,100,32,242308.0,0.074526217,1.930232525,0.003344501,0.004317064000000001,0.00141388,0.0015285720000000002,2054.538482,93.86043294550123,5
breast,lgb,joblib,100,1024,242308.0,0.072674098,1.902411802,0.0033736760000000004,0.01088576,0.006086903,0.006870018,2030.7140779999995,93.54235071539901,5
breast,lgb,joblib,500,1,444548.0,0.07691590400000001,1.995929352,0.006379565,0.004112466,0.001290829,0.001521116,2125.8437860000004,93.6229946542373,5
breast,lgb,joblib,500,32,444548.0,0.07511440600000001,1.954507132,0.006402224000000001,0.00451796,0.00161172,0.0017046020000000002,2084.140421,93.78001176438005,5
breast,lgb,joblib,500,1024,444548.0,0.07315777600000001,1.922235638,0.006260524000000001,0.014996106,0.012567447,0.024431222000000002,2060.450317,93.29201593168045,5
breast,lgb,joblib,2000,1,444548.0,0.07369792600000001,1.969811589,0.006377734,0.004322152,0.0012645660000000002,0.0013386090000000002,2097.9651129999997,93.8683577846074,5
breast,lgb,joblib,2000,32,444548.0,0.07320742100000001,1.9457787940000002,0.006469459,0.004817231,0.001671436,0.00177773,2073.7143600000004,93.88647771198414,5
breast,lgb,joblib,2000,1024,444548.0,0.073980971,2.002105481,0.006163038,0.015002229,0.012326785000000002,0.016322716,2141.006988,93.46414373272817,5
breast,lgb,native,100,1,240319.0,0.073899332,1.905185125,0.040755219,0.000314256,4.2277e-05,6.339400000000001e-05,2064.095943,93.39066025045555,5
breast,lgb,native,100,32,240319.0,0.073498617,1.928901355,0.018338499,0.00066043,0.000361287,0.00042978700000000005,2058.7405110000004,93.69744002768023,5
breast,lgb,native,100,1024,240319.0,0.076605904,1.931315254,0.01361187,0.00763403,0.0072658390000000005,0.008297911,2070.1545069999997,93.2932903060844,5
breast,lgb,native,500,1,442551.0,0.078706207,1.960706698,0.016257946000000002,0.000444621,5.0751e-05,8.679900000000001e-05,2099.870741,93.45469819094639,5
breast,lgb,native,500,32,442551.0,0.07410259100000001,1.9254072880000002,0.016580767,0.0008910880000000001,0.000562194,0.000691884,2060.537984,93.41754061363068,5
breast,lgb,native,500,1024,442551.0,0.08015082700000001,1.981292134,0.017021708,0.016487972,0.016226943,0.018784157000000003,2131.7695200000003,92.84821160194011,5
breast,lgb,native,2000,1,442552.0,0.08096653100000001,1.931127094,0.017084904,0.00043946100000000004,5.4291000000000006e-05,0.000111849,2075.224526,93.35474156198325,5
breast,lgb,native,2000,32,442552.0,0.073617176,1.95504852,0.018310464000000002,0.0009124210000000001,0.000563102,0.0006609610000000001,2089.694997,93.55664452500004,5
breast,lgb,native,2000,1024,442552.0,0.07610726100000001,2.223597082,0.046762696000000006,0.020124248,0.016241910000000002,0.019278158,2405.5402490000006,92.720550727383,5
breast,lgb,onnx,100,1,148401.0,0.07356522800000001,0.042477987,0.008925529,0.000517093,1.4157e-05,2.6403e-05,174.679691,24.371241446372377,5
breast,lgb,onnx,100,32,148401.0,0.07514282400000001,0.042600501000000006,0.008733701,0.0008725110000000001,0.000272191,0.000314088,170.419245,24.728896407726552,5
breast,lgb,onnx,100,1024,148401.0,0.109730744,0.063841118,0.012810532000000001,0.008984604,0.008520594000000001,0.009698205000000001,240.49163499999997,24.74948342076298,5
breast,lgb,onnx,500,1,238371.0,0.073697343,0.041073596000000004,0.011130431000000001,0.00055698,2.3047e-05,3.1987000000000004e-05,170.98741400000003,24.194075482777848,5
breast,lgb,onnx,500,32,238371.0,0.07652897900000001,0.040417205000000005,0.010840485,0.0011334420000000001,0.00058322,0.000636735,171.993329,23.493876567397468,5
breast,lgb,onnx,500,1024,238371.0,0.079289256,0.045229484,0.011196904,0.016916238,0.016220554,0.025409458000000003,195.902956,23.087698584803388,5
breast,lgb,onnx,2000,1,238371.0,0.1090371,0.054910411000000006,0.011298375000000001,0.0005629490000000001,2.1089e-05,3.2934e-05,204.027231,24.75753330906347,5
breast,lgb,onnx,2000,32,238371.0,0.073342747,0.039945025,0.010860341,0.001187583,0.000588111,0.000636892,169.10397799999998,23.851188904146063,5
breast,lgb,onnx,2000,1024,238371.0,0.073111191,0.040260527000000004,0.011159306,0.016707555000000002,0.016091383,0.018364128,185.012302,21.756747829665947,5
breast,lgb,pickle,100,1,242134.0,0.089717552,2.603293949,0.0027736090000000002,0.006501379000000001,0.0012568850000000001,0.002250035,2746.080026,94.33525326659894,5
breast,lgb,pickle,100,32,242134.0,0.07364378,1.8966631820000002,0.0027236120000000003,0.004258919,0.001416116,0.001539067,2021.4031820000002,93.90980218706567,5
breast,lgb,pickle,100,1024,242134.0,0.073299074,1.9308186410000001,0.0027087910000000003,0.008683326,0.006004028000000001,0.008663276000000001,2059.229061,93.74455410213312,5
breast,lgb,pickle,500,1,444368.0,0.07919504000000001,1.946658532,0.005702243,0.004279138,0.001262686,0.002001848,2086.170529,93.69642850742876,5
breast,lgb,pickle,500,32,444368.0,0.073518415,1.9201091780000001,0.0056817050000000004,0.004631883000000001,0.0016617210000000001,0.0019270690000000002,2051.456766,93.82672094633638,5
breast,lgb,pickle,500,1024,444368.0,0.07542195800000001,1.9496884030000001,0.005706718,0.014728592,0.012386647,0.020755979,2085.8176040000003,93.2146490579559,5
breast,lgb,pickle,2000,1,444369.0,0.07477333500000001,1.915652866,0.005739763,0.004243548000000001,0.001283681,0.0015290920000000001,2042.386183,93.71025092760334,5
breast,lgb,pickle,2000,32,444369.0,0.091494747,1.972164587,0.005871585,0.004442214,0.001619575,0.0019226830000000001,2107.9451579999995,93.55862886258261,5
breast,lgb,pickle,2000,1024,444369.0,0.073318663,1.951086701,0.005553636000000001,0.014850552000000001,0.012283589000000001,0.014388769000000001,2102.558942,93.26939645685924,5
breast,xgb,joblib,100,1,113946.0,0.07457831300000001,1.279163635,0.003344173,0.001599525,0.00040364400000000004,0.000592823,1458.3935779999997,89.56294762565145,5
breast,xgb,joblib,100,32,113946.0,0.07613431100000001,1.109487402,0.0032851710000000004,0.0016285030000000001,0.00048347,0.0007151060000000001,1231.336177,89.69097412195448,5
breast,xgb,joblib,100,1024,113946.0,0.086972507,1.089294263,0.0033206470000000004,0.003096464,0.002067511,0.0024445170000000002,1226.43915,89.50838505903337,5
breast,xgb,joblib,500,1,420334.0,0.07907591700000001,1.068085421,0.013142994000000002,0.001745126,0.000459987,0.0005526750000000001,1205.8047270000002,89.2233429183962,5
breast,xgb,joblib,500,32,420334.0,0.073187715,1.05715237,0.009487036,0.001857481,0.000617366,0.000737765,1187.8479200000002,89.15808671740906,5
breast,xgb,joblib,500,1024,420334.0,0.072712015,1.097339636,0.009467595,0.005706837,0.004596034000000001,0.006339133,1233.4472150000001,88.94593287919182,5
breast,xgb,joblib,2000,1,1462624.0,0.076714052,1.081291984,0.040162738,0.002346144,0.000645674,0.0007560430000000001,1282.290139,87.24708569367581,5
breast,xgb,joblib,2000,32,1462624.0,0.07427663500000001,1.061409847,0.036596203,0.002727544,0.001051227,0.0011840800000000001,1217.3627490000001,87.06969526668733,5
breast,xgb,joblib,2000,1024,1462624.0,0.07417797400000001,1.074244921,0.036823076,0.015536775000000001,0.013888310000000001,0.017386836000000003,1248.07298,86.30353864057878,5
breast,xgb,native,100,1,103706.0,0.078258666,1.134455396,0.002433072,0.0014039170000000002,0.00023150900000000002,0.00033382100000000004,1261.8045499999998,89.96580379867659,5
breast,xgb,native,100,32,103706.0,0.073667193,1.065867831,0.002363046,0.001390959,0.00029752900000000004,0.00038485,1188.8393150000002,89.7886371707829,5
breast,xgb,native,100,1024,103706.0,0.077042755,1.183357962,0.002406388,0.002954024,0.0017866770000000002,0.0023110070000000003,1346.9965760000002,89.68080498515845,5
breast,xgb,native,500,1,410093.0,0.077302146,1.203045516,0.011860323,0.001991001,0.00037493600000000003,0.000446221,1336.9238249999999,89.87704307973154,5
breast,xgb,native,500,32,410093.0,0.07387363300000001,1.080877239,0.008345648,0.001832017,0.00043819000000000003,0.0005263770000000001,1211.196193,89.33522837841579,5
breast,xgb,native,500,1024,410093.0,0.08230372300000001,1.074049054,0.008356361000000001,0.00601798,0.004323038,0.006954874000000001,1214.4125209999997,89.08801095461658,5
breast,xgb,native,2000,1,1452382.0,0.07582841300000001,1.070765671,0.029535956000000002,0.006169852,0.00041521200000000004,0.0005493420000000001,1222.635919,87.52853788585924,5
breast,xgb,native,2000,32,1452382.0,0.078107785,1.255030898,0.030720058,0.007221943000000001,0.0008640270000000001,0.0013216880000000001,1426.4640470000002,87.53045298424414,5
breast,xgb,native,2000,1024,1452382.0,0.079056051,1.088409534,0.030597258000000002,0.019264675000000002,0.013569672000000001,0.018677229,1260.3013070000002,86.15379393556401,5
breast,xgb,onnx,100,1,34765.0,0.074405572,0.040900859000000005,0.005410848,0.000431581,1.1653e-05,1.8125e-05,165.112719,24.790339002574306,5
breast,xgb,onnx,100,32,34765.0,0.07434493,0.041517127,0.005387866000000001,0.000554103,0.00011160900000000001,0.00015756,165.01274099999998,25.231867295272508,5
breast,xgb,onnx,100,1024,34765.0,0.078659857,0.042722861,0.0053685420000000005,0.0038096550000000003,0.003234087,0.0036685800000000003,180.952316,23.708020603282502,5
breast,xgb,onnx,500,1,76910.0,0.07407607000000001,0.041757397,0.0064433400000000005,0.00044182,1.899e-05,3.008e-05,167.313527,24.748014093088056,5
breast,xgb,onnx,500,32,76910.0,0.078496126,0.040715318,0.006416261,0.0008597180000000001,0.000399744,0.000447254,169.985946,24.23501171508031,5
breast,xgb,onnx,500,1024,76910.0,0.07934047200000001,0.042204009,0.006516391000000001,0.013907865,0.013262733,0.020812549,184.164217,23.346427037657115,5
breast,xgb,onnx,2000,1,133576.0,0.07480534600000001,0.041586111,0.008105229,0.000543773,4.0016000000000004e-05,5.9167000000000005e-05,172.05602300000004,24.689920245702137,5
breast,xgb,onnx,2000,32,133576.0,0.074453774,0.041554277,0.007751466,0.001634487,0.0011809980000000002,0.001278581,172.32017800000003,24.719091853413282,5
breast,xgb,onnx,2000,1024,133576.0,0.074417315,0.041342155000000005,0.007770033000000001,0.039106274,0.037819789,0.045839912000000003,208.815717,20.031317624704315,5
breast,xgb,pickle,100,1,113921.0,0.08863195700000001,1.052097441,0.0029503520000000003,0.001412094,0.00040589200000000004,0.0005269480000000001,1188.7267890000003,89.57857858710732,5
breast,xgb,pickle,100,32,113921.0,0.07237012100000001,1.078438381,0.0030246720000000004,0.0015531710000000001,0.000572821,0.000776497,1199.1269960000002,89.93529330899992,5
breast,xgb,pickle,100,1024,113921.0,0.073923583,1.061861151,0.0030371020000000003,0.0031236180000000003,0.0020064090000000002,0.002208942,1193.079182,89.57484514931825,5
breast,xgb,pickle,500,1,420309.0,0.083014212,1.207823088,0.014072979000000001,0.002313158,0.00045164300000000005,0.000669382,1382.151501,89.64428673882364,5
breast,xgb,pickle,500,32,420309.0,0.074322078,1.060650945,0.009349253,0.001843627,0.0006139320000000001,0.000922121,1189.5054499999997,88.9980375335625,5
breast,xgb,pickle,500,1024,420309.0,0.073024671,1.140366001,0.009064367,0.0057155420000000005,0.004602043,0.0050071510000000005,1273.7693960000001,89.09801301874148,5
breast,xgb,pickle,2000,1,1462599.0,0.073658706,1.073379705,0.035294098,0.00226935,0.000590832,0.000709917,1236.6196140000002,87.32315338602488,5
breast,xgb,pickle,2000,32,1462599.0,0.07373578600000001,1.102093059,0.036723198000000006,0.0031740790000000002,0.001062381,0.001358716,1258.9454569999998,87.47712880663057,5
breast,xgb,pickle,2000,1024,1462599.0,0.074994432,1.079691125,0.03512725,0.015039395,0.013923896000000002,0.018068236,1249.4378030000003,86.41415542314913,5
calif,cat,joblib,100,1,119357.0,0.073254176,1.594497911,0.001103245,0.004037555,0.000603736,0.0006876370000000001,1716.621872,92.88579721649964,5
calif,cat,joblib,100,32,119357.0,0.07928715900000001,1.6110783720000001,0.0012102620000000001,0.004959689000000001,0.000746689,0.000912984,1772.383565,92.61742609478344,5
calif,cat,joblib,100,1024,119357.0,0.074226844,1.594121855,0.001092682,0.00567416,0.0012039730000000001,0.001331121,1716.7201140000002,92.85857618838385,5
calif,cat,joblib,500,1,565022.0,0.091426744,1.598968817,0.001828027,0.0040936160000000004,0.000627003,0.00074313,1720.60339,92.44835893203788,5
calif,cat,joblib,500,32,565022.0,0.075757582,1.646885603,0.00184888,0.005149506000000001,0.000861882,0.00103148,1775.7304740000002,92.76737331202453,5
calif,cat,joblib,500,1024,565022.0,0.073933471,1.6145924489999999,0.001833441,0.005752896,0.001553735,0.001846184,1743.923016,92.78041352113668,5
calif,cat,joblib,2000,1,2230518.0,0.08524084700000001,1.6132933230000002,0.00442491,0.004597355,0.000770051,0.000828176,1748.406844,92.33446974053092,5
calif,cat,joblib,2000,32,2230518.0,0.073890145,1.617127767,0.004182241000000001,0.0052754740000000005,0.0009475190000000001,0.000995428,1743.5948589999998,92.64571511005502,5
calif,cat,joblib,2000,1024,2230518.0,0.07347661200000001,1.593781133,0.004097085,0.007472804,0.003021068,0.006275673000000001,1722.1582039999998,92.54557039522719,5
calif,cat,native,100,1,118880.0,0.079906398,1.5971803310000001,0.001933489,0.00404323,0.000604991,0.000771044,1725.1816170000002,92.58041676663656,5
calif,cat,native,100,32,118880.0,0.072716036,1.59002792,0.001982568,0.005977141,0.0007464930000000001,0.001190415,1714.5721199999998,92.87401513753704,5
calif,cat,native,100,1024,118880.0,0.074687347,1.582413236,0.001614458,0.005047304000000001,0.001187969,0.001468876,1708.472711,92.69127203178533,5
calif,cat,native,500,1,564544.0,0.07387758900000001,1.586617213,0.0025095580000000003,0.0039641270000000004,0.00061776,0.000706069,1710.0281880000002,92.78310288298006,5
calif,cat,native,500,32,564544.0,0.07343016100000001,1.606664866,0.002422446,0.004907306,0.000794065,0.0008606530000000001,1738.190756,92.8515142902732,5
calif,cat,native,500,1024,564544.0,0.07471747000000001,1.604611689,0.0025307510000000004,0.005663637,0.0016699280000000002,0.001975814,1735.267109,92.70395360631156,5
calif,cat,native,2000,1,2230040.0,0.075374908,1.640724642,0.006632532,0.004209842,0.0007117790000000001,0.000873363,1769.2772,92.52848771329559,5
calif,cat,native,2000,32,2230040.0,0.073910602,1.5965065900000002,0.005957235,0.005164071,0.000972534,0.001032956,1730.908521,92.55875173039865,5
