dataset,lib,batch,ratio_lo,ratio,ratio_hi,onnx_slower
calif,lgb,32,0.2238390394884735,0.27722990225309563,0.40127348627234044,False
calif,lgb,64,0.2365503104846753,0.3361367302942159,0.3492564537808921,False
calif,lgb,128,0.19640414915129256,0.22800568139861074,0.23414287065377973,False
calif,lgb,256,0.1988236291151432,0.2362671779487733,0.3340460487019098,False
calif,lgb,512,0.22994550614649786,0.23336131679008532,0.32652590487610716,False
calif,lgb,1024,0.22812484919148338,0.230394774656418,0.24376768955835834,False
calif,lgb,2048,0.2334446649680628,0.2362533493850884,0.23850552436322459,False
calif,xgb,1,0.18524535015992727,0.28225360682709627,0.30057672784789136,False
calif,xgb,2,0.08683963030151691,0.1435695966868208,0.14930048159921666,False
calif,xgb,4,0.19667055176125464,0.20331678519530658,0.2577486322249044,False
calif,xgb,8,0.20480898959579796,0.38499427720411616,0.40560473267610475,False
calif,xgb,16,0.30464746983413926,0.41733236359305853,0.454732515807784,False
calif,xgb,32,0.4248967168418917,0.6193458073640485,0.6761163329373115,False
calif,xgb,64,0.7758094241602248,0.8302392781070846,1.1226409809438989,False
calif,xgb,128,0.5799088422464749,1.008386376479918,1.3192219224549488,False
calif,xgb,256,0.6884663623251652,1.1385890518314339,1.4839106813495668,False
calif,xgb,512,1.1481748045967342,1.191253522573657,1.5812186161623785,True
calif,xgb,1024,1.2219285974543808,1.5643258481168876,1.6292007782959341,True
calif,xgb,2048,1.2279290452014615,1.2650620741768779,1.2848599801698763,True
calif,cat,1,0.40315795648271696,0.4602191797952958,0.48225623514812244,False
calif,cat,2,0.5596589998486526,0.5771337321993134,0.5895161300464501,False
calif,cat,4,0.6913657748099791,0.7365951919048279,0.8153440803842713,False
calif,cat,8,1.102172168740159,1.1962432496765767,1.2592592576673924,True
calif,cat,16,1.3686282541749313,1.91640444913705,1.9486052948930261,True
calif,cat,32,2.7569800214661235,3.0039592016692347,3.119523736488618,True
calif,cat,64,4.930983248820646,5.227443646003998,6.69882691780849,True
calif,cat,128,7.345886173072931,7.704188100794791,9.724480239864237,True
calif,cat,256,6.217221232842579,13.62641914925781,16.798834307708052,True
calif,cat,512,7.4667470447927595,19.348729621084058,24.20404101292079,True
calif,cat,1024,9.854398604302117,23.90900015153204,26.40447052285299,True
calif,cat,2048,12.612024715229069,28.377133571641718,28.693941361468298,True
covtype,lgb,1,0.6850967771410478,0.8131573504286314,1.0145206667701983,False
covtype,lgb,2,0.6257687041557314,0.7662398556276987,0.9176865812232435,False
covtype,lgb,4,0.5243805346072689,0.6046631855112268,0.6311365408764715,False
covtype,lgb,8,0.4310431047346813,0.5062899008379033,0.6986829892668673,False
covtype,lgb,16,0.42550994217031773,0.6160366773280324,0.6927140387950095,False
covtype,lgb,32,0.3480953196734587,0.39874650678576795,0.416819724377686,False
covtype,lgb,64,0.32420832071183664,0.38077445674520793,0.5686999184898485,False
covtype,lgb,128,0.30276854591254077,0.33948306107569337,0.5253407228450795,False
covtype,lgb,256,0.33725987833089405,0.3459414835277508,0.5123914211872687,False
covtype,lgb,512,0.3446038657845523,0.35024051358529956,0.3853595148123135,False
covtype,lgb,1024,0.3456476777062898,0.3488017197769576,0.3597720595375962,False
covtype,lgb,2048,0.3494183857971125,0.35697957113743667,0.35941366483660603,False
covtype,xgb,1,0.23772443500577575,0.34824444537398414,0.47680752786094877,False
covtype,xgb,2,0.10972806703802201,0.15735098013475496,0.17204355040294705,False
covtype,xgb,4,0.16127282073248148,0.24526206808742895,0.26036006990381816,False
covtype,xgb,8,0.3645059137307312,0.4045504812244194,0.42181298359035685,False
covtype,xgb,16,0.5881549091453844,0.9027545085441036,0.9872866014351808,False
covtype,xgb,32,0.5403473732878549,0.8871791511555637,0.9982881421486296,False
covtype,xgb,64,0.7408443433420968,1.2289872658692533,1.8040076160401937,False
covtype,xgb,128,1.2604749682639116,1.3731072727187064,1.3947549897636833,True
covtype,xgb,256,0.8907289234933925,1.561862791722171,2.28856183536395,False
covtype,xgb,512,1.571615497843512,1.6366127219214146,1.7325162899204043,True
covtype,xgb,1024,1.6252053041518035,1.676405017840123,1.7223193925205371,True
covtype,xgb,2048,1.6796682774710254,1.7034586864476216,1.7320716295012286,True
covtype,cat,1,0.12667923903276945,0.15790784649980086,0.37502486585489403,False
covtype,cat,2,0.2586167116627408,0.2890179968743907,0.31859601880626165,False
covtype,cat,4,0.4322203463950838,0.5046806248708395,0.7307886388589917,False
covtype,cat,8,0.6315144953937317,0.7227708460745168,1.058588254560702,False
covtype,cat,16,1.509759641608905,1.6501355775746545,1.753567990614774,True
covtype,cat,32,1.7189554895862034,1.796066068722121,2.7654008916298816,True
covtype,cat,64,2.3697890620105,2.5922964768280394,2.637379655471097,True
covtype,cat,128,3.2783105035777638,3.4815503913816412,3.6101301614968326,True
covtype,cat,256,4.405502122901908,5.107748273652479,8.411634919902884,True
covtype,cat,512,3.3769222719385437,7.532584946024758,11.795023644179771,True
covtype,cat,1024,3.396296152998554,8.642718866691055,13.628137199190933,True
covtype,cat,2048,5.196820076875461,9.801885445577014,11.239403168252533,True
